term,tagging_id,frequency_in_corpus,family,genus,species
abandon,4002,1604,adventure,adventuring/the-lonely-grave,adventure-site/ruins
aboard,4057,371,adventure,adventuring/transport,vehicle
accomplishment,1974,219,adventure,hook/epic-saga,narrative/epic
achievement,1973,172,adventure,hook/epic-saga,narrative/epic
across,6306,5215,adventure,adventure/navigation,spatial/prepositions
acute,5635,160,adventure,the-human-body/senses,senses-perception
ahead,6302,1024,adventure,adventure/navigation,spatial/prepositions
airship,4053,399,adventure,adventuring/transport,vehicle
along,6304,5145,adventure,adventure/navigation,spatial/prepositions
amid,4014,456,adventure,adventuring/the-lonely-grave,adventure-site/ruins
among,6284,6039,adventure,adventure/navigation,spatial/prepositions
ancient,3983,6114,adventure,adventuring/the-lonely-grave,adventure-site/ruins
apart,6287,1198,adventure,adventure/navigation,spatial/prepositions
arc,6248,951,adventure,the-human-body/senses,topology
around,6305,9421,adventure,adventure/navigation,spatial/prepositions
arrive,5795,1604,adventure,action/quest-verbs,verb/quests/search
ascension,1961,107,adventure,hook/epic-saga,narrative/epic
aside,6288,994,adventure,adventure/navigation,spatial/prepositions
asleep,2598,255,adventure,adventure/navigation,disabled
atop,6282,947,adventure,adventuring/the-lonely-grave,spatial/prepositions
away,6290,7339,adventure,adventure/navigation,spatial/prepositions
back,6292,10140,adventure,adventure/navigation,spatial/prepositions
barge,2334,173,adventure,adventuring/transport,sailing
barrow,915,120,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
bay,4059,663,adventure,adventuring/transport,vehicle
behind,6298,3807,adventure,adventure/navigation,spatial/prepositions
beneath,6281,2056,adventure,adventuring/the-lonely-grave,spatial/prepositions
betrayal,1970,297,adventure,hook/epic-saga,narrative/epic
between,6279,9265,adventure,adventure/navigation,spatial/prepositions
beyond,6283,4270,adventure,level-up,spatial/prepositions
blessing,5191,886,adventure,hook/epic-saga,narrative/epic
boat,4064,1131,adventure,adventuring/transport,vehicle
boom,2719,258,adventure,the-human-body/senses,sense-perception/noise
boon,5192,828,adventure,hook/epic-saga,narrative/epic
bottom,6247,934,adventure,adventuring/mazes-and-traps,topology
bound,3998,1798,adventure,magic,adventure-site/ruins
break,1001,4123,adventure,adventuring/verbs,verb/action
breeze,2711,208,adventure,the-human-body/senses,sense-perception/noise
bring,5837,3656,adventure,adventuring/verbs,verb/quests
brings,5814,737,adventure,adventuring/verbs,verb/quests
broke,5825,422,adventure,adventuring/verbs,verb/quests
broken,3991,2604,adventure,adventuring/verbs,adventure-site/ruins
brought,5838,1670,adventure,adventuring/verbs,verb/quests
burial,4019,235,adventure,adventuring/the-lonely-grave,adventure-site/ruins
burrow,1023,503,adventure,adventuring/verbs,verb/downward-motion
bury,3986,988,adventure,adventuring/the-lonely-grave,adventure-site/ruins
button,2288,242,adventure,adventuring/mazes-and-traps,adventure
buzz,2709,100,adventure,the-human-body/senses,sense-perception/noise
cable,2327,200,adventure,adventuring/mazes-and-traps,sailing
call,5816,10857,adventure,,verb/quests
canoe,2333,110,adventure,adventuring/transport,sailing
capture,5870,1665,adventure,action/quest-verbs,verb/quests/vip
caravan,4091,932,adventure,,journey
cargo,4056,761,adventure,adventuring/transport,vehicle
carriage,4066,198,adventure,adventuring/transport,vehicle
cart,4061,538,adventure,adventuring/transport,vehicle
catacomb,919,138,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
cemetery,916,118,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
center,6242,3571,adventure,adventuring/mazes-and-traps,topology
champion,5174,2580,adventure,hook/epic-saga,narrative/epic
chariot,2456,274,adventure,adventuring/transport,mount-steed
chasm,2465,397,adventure,adventuring/mazes-and-traps,topology/pore
chime,2714,172,adventure,the-human-body/senses,sense-perception/noise
claimed,5853,573,adventure,action/quest-verbs,verb/quests
cleft,3963,152,adventure,adventuring/the-lonely-grave,topology/pore
click,2708,115,adventure,the-human-body/senses,sense-perception/noise
climb,5479,2996,adventure,adventuring/verbs,gameplay/positioning/locomotion
climber,4802,123,adventure,adventuring/mazes-and-traps,journey
clue,2893,1063,adventure,hook/mystery,puzzle
coach,4067,183,adventure,adventuring/transport,vehicle
coffin,2424,249,adventure,adventuring/mazes-and-traps,adventure-site/necropolis
collapse,3988,1425,adventure,adventure/hazard,adventure-site/ruins
come,5793,14405,adventure,adventuring/verbs,verb/quests/search
conquer,5827,699,adventure,action/quest-verbs,verb/quests
corner,6250,1603,adventure,adventuring/mazes-and-traps,topology
correctly,5576,166,adventure,hook/mystery,puzzle
corridor,2462,615,adventure,adventuring/mazes-and-traps,topology/pore
cough,2707,111,adventure,the-human-body/senses,sense-perception/noise
crack,2468,1032,adventure,adventuring/mazes-and-traps,topology/pore
crash,3989,1140,adventure,adventure/hazard,adventure-site/ruins
crawl,5862,711,adventure,adventuring/verbs,verb/locomotion
creak,2731,103,adventure,the-human-body/senses,sense-perception/noise
cross,5849,2196,adventure,adventure/navigation,verb/quests
crumble,4021,566,adventure,adventuring/the-lonely-grave,adventure-site/ruins
cry,2571,681,adventure,the-human-body/senses,sense-perception/noise/voice
cryptic,5578,205,adventure,hook/mystery,puzzle
cut,1002,2980,adventure,adventuring/verbs,verb/action
dart,2289,641,adventure,adventuring/mazes-and-traps,adventure
deactivate,3259,196,adventure,adventure/hazard,disabled
decipher,5577,237,adventure,hook/mystery,puzzle
declaration,1949,105,adventure,hook/epic-saga,narrative/epic
deed,5189,1026,adventure,hook/epic-saga,narrative/epic
defeat,5812,2984,adventure,action/quest-verbs,verb/quests
defend,5810,2146,adventure,,verb/quests
deliver,5798,1012,adventure,,verb/quests/search
delve,5799,639,adventure,adventuring/verbs,verb/quests/search
demise,1957,164,adventure,hook/epic-saga,narrative/epic
destination,6259,865,adventure,adventuring/the-lonely-grave,journey
destiny,5190,904,adventure,hook/epic-saga,narrative/epic
destroy,5811,2518,adventure,action/quest-verbs,verb/quests
destroyed,3990,3025,adventure,action/quest-verbs,adventure-site/ruins
detect,5640,2751,adventure,adventure/hazard,senses-perception
dig,5861,717,adventure,adventuring/verbs,verb/downward-motion
direction,6264,2521,adventure,the-human-body/senses,journey
disabled,2597,186,adventure,adventure/hazard,disabled
discharge,3260,240,adventure,adventure/hazard,disabled
discover,2877,2627,adventure,,puzzle
dismount,4791,114,adventure,the-human-body/senses,mount-steed
dispel,5637,1466,adventure,adventure/hazard,senses-perception
dive,3494,437,adventure,adventuring/verbs,locomotion
dock,4058,737,adventure,adventuring/transport,vehicle
doorway,2466,406,adventure,adventuring/mazes-and-traps,topology/pore
dormant,2601,175,adventure,adventuring/the-lonely-grave,disabled
down,6291,11102,adventure,adventure/navigation,spatial/prepositions
downfall,1946,113,adventure,hook/epic-saga,narrative/epic
drag,5857,751,adventure,adventuring/verbs,verb/locomotion
draw,5841,4147,adventure,adventuring/verbs,verb/quests
drawn,5842,1415,adventure,adventuring/verbs,verb/quests
drift,1022,526,adventure,adventuring/verbs,verb/downward-motion
drive,5843,2475,adventure,adventuring/verbs,verb/quests
driven,5844,1180,adventure,adventuring/verbs,verb/quests
drop,990,3276,adventure,adventuring/verbs,verb/action
drum,2712,237,adventure,the-human-body/senses,sense-perception/noise
dug,1019,172,adventure,adventuring/verbs,verb/downward-motion
edge,6244,3012,adventure,adventuring/mazes-and-traps,topology
elevator,2278,199,adventure,adventuring/mazes-and-traps,adventure
empty,3987,1724,adventure,adventuring/the-lonely-grave,adventure-site/ruins
endless,3996,756,adventure,adventuring/the-lonely-grave,adventure-site/ruins
enlightenment,1953,144,adventure,hook/epic-saga,narrative/epic
enormous,3992,781,adventure,adventuring/the-lonely-grave,adventure-site/ruins
enslave,5828,408,adventure,action/quest-verbs,verb/quests
epic,5177,1502,adventure,hook/epic-saga,narrative/epic
escape,5813,3694,adventure,action/quest-verbs,verb/quests
escort,5866,536,adventure,action/quest-verbs,verb/quests/vip
eternal,3997,656,adventure,hook/epic-saga,adventure-site/ruins
evidence,2894,935,adventure,hook/mystery,puzzle
explore,5804,2276,adventure,adventure/navigation,verb/quests/search
fall,997,7838,adventure,adventuring/verbs,verb/action
false,2884,966,adventure,hook/mystery,puzzle
fame,1975,244,adventure,hook/epic-saga,narrative/epic
fate,5181,3228,adventure,hook/epic-saga,narrative/epic
favor,5183,3386,adventure,hook/virtues-and-sins,narrative/epic
ferry,2318,150,adventure,adventuring/transport,sailing
find,5794,11784,adventure,,verb/quests/search
fissure,2463,180,adventure,adventuring/mazes-and-traps,topology/pore
fist,994,1285,adventure,adventuring/verbs,verb/action
flee,5835,1884,adventure,action/quest-verbs,verb/quests
flight,5482,1246,adventure,the-human-body/senses,gameplay/positioning/locomotion
fly,5481,5142,adventure,adventuring/verbs,gameplay/positioning/locomotion
footstep,2716,148,adventure,the-human-body/senses,sense-perception/noise
forbidden,4006,674,adventure,hook/mystery,adventure-site/ruins
forge,3984,2434,adventure,action/quest-verbs,adventure-site/ruins
forgotten,3985,1557,adventure,action/quest-verbs,adventure-site/ruins
forth,6275,1644,adventure,the-human-body/senses,spatial/prepositions
fortune,5186,1304,adventure,hook/epic-saga,narrative/epic
forward,6301,1372,adventure,adventure/navigation,spatial/prepositions
fought,5830,822,adventure,adventuring/verbs,verb/quests
freed,5829,363,adventure,action/quest-verbs,verb/quests
front,6251,2106,adventure,the-human-body/senses,topology
galleon,2319,106,adventure,adventuring/transport,sailing
galley,2326,110,adventure,adventuring/transport,sailing
gap,2469,577,adventure,adventuring/mazes-and-traps,topology/pore
gather,5806,1644,adventure,action/quest-verbs,verb/quests/search
gather,5863,1644,adventure,action/quest-verbs,verb/quests/vip
gathering,5807,832,adventure,action/quest-verbs,verb/quests/search
gathering,5864,832,adventure,action/quest-verbs,verb/quests/vip
get,5801,21159,adventure,adventuring/verbs,verb/quests/search
gift,5182,3055,adventure,hook/epic-saga,narrative/epic
glide,3495,233,adventure,the-human-body/senses,locomotion
glorious,1950,294,adventure,hook/epic-saga,narrative/epic
glory,5180,1474,adventure,hook/epic-saga,narrative/epic
go,5820,16181,adventure,adventuring/verbs,verb/quests
gong,2715,161,adventure,the-human-body/senses,sense-perception/noise
gossip,2892,337,adventure,hook/mystery,puzzle
grab,1003,1435,adventure,adventuring/verbs,verb/action
grate,2299,188,adventure,adventuring/mazes-and-traps,adventure
grave,4013,606,adventure,adventuring/the-lonely-grave,adventure-site/ruins
graveyard,914,213,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
greatness,1952,138,adventure,hook/epic-saga,narrative/epic
grief,1971,297,adventure,hook/epic-saga,narrative/epic
griffon,4117,594,adventure,adventuring/transport,mount-steed
groan,2730,108,adventure,the-human-body/senses,sense-perception/noise
grove,4012,370,adventure,adventuring/the-lonely-grave,adventure-site/ruins
growl,2727,152,adventure,the-human-body/senses,sense-perception/noise
hallway,2459,408,adventure,adventuring/mazes-and-traps,topology/pore
hang,4036,1486,adventure,adventure/navigation,body/posture
harbinger,4874,122,adventure,hook/epic-saga,narrative/epic
hearing,5638,834,adventure,the-human-body/senses,senses-perception
heroic,5178,1209,adventure,hook/epic-saga,narrative/epic
hidden,2880,3956,adventure,adventuring/the-lonely-grave,puzzle
hike,4801,113,adventure,the-human-body/senses,journey
hinge,2292,280,adventure,adventuring/mazes-and-traps,adventure
hint,2886,573,adventure,hook/mystery,puzzle
hiss,2722,187,adventure,the-human-body/senses,sense-perception/noise
hoard,2512,821,adventure,hook/epic-saga,adventure-site/underground
hole,2467,1405,adventure,adventuring/mazes-and-traps,topology/pore
hollow,4020,643,adventure,adventuring/the-lonely-grave,adventure-site/ruins
holy,3980,2811,adventure,adventuring/the-lonely-grave,adventure-site/ruins
horse,4116,2877,adventure,adventuring/transport,mount-steed
horseback,2458,172,adventure,adventuring/mazes-and-traps,mount-steed
hover,3493,385,adventure,the-human-body/senses,locomotion
howl,2573,853,adventure,the-human-body/senses,sense-perception/noise/voice
huge,3994,2098,adventure,adventuring/the-lonely-grave,adventure-site/ruins
hull,2337,500,adventure,adventuring/transport,sailing
hum,2717,205,adventure,the-human-body/senses,sense-perception/noise
hurl,993,851,adventure,adventuring/verbs,verb/action
immense,3993,457,adventure,adventuring/the-lonely-grave,adventure-site/ruins
immortality,1955,269,adventure,hook/epic-saga,narrative/epic
inanimate,2599,265,adventure,adventure/hazard,disabled
infiltrate,5869,415,adventure,action/quest-verbs,verb/quests/vip
inside,6294,3415,adventure,adventure/navigation,spatial/prepositions
intact,4011,464,adventure,adventuring/the-lonely-grave,adventure-site/ruins
into,3330,34978,adventure,adventure/navigation,spatial/prepositions
intruder,5589,1018,adventure,the-human-body/senses,senses-perception
investigate,5850,808,adventure,action/quest-verbs,verb/quests
investigate,5868,808,adventure,action/quest-verbs,verb/quests/vip
joy,1965,387,adventure,hook/epic-saga,narrative/epic
jump,5483,1638,adventure,adventuring/verbs,gameplay/positioning/locomotion
jumping,3497,309,adventure,adventuring/verbs,locomotion
key,2875,3354,adventure,hook/mystery,puzzle
kick,1007,649,adventure,adventuring/verbs,verb/action
kill,5833,6756,adventure,action/quest-verbs,verb/quests
knock,991,2308,adventure,adventuring/verbs,verb/action
ladder,2282,451,adventure,adventuring/mazes-and-traps,adventure
laid,5851,457,adventure,adventuring/verbs,verb/quests
latch,2297,143,adventure,adventuring/mazes-and-traps,adventure
lay,5796,1458,adventure,adventuring/verbs,verb/quests/search
lead,5817,7953,adventure,adventuring/verbs,verb/quests
leap,5486,1259,adventure,adventuring/verbs,gameplay/positioning/locomotion
legendary,5176,2319,adventure,hook/epic-saga,narrative/epic
lesson,1964,285,adventure,hook/epic-saga,narrative/epic
lever,2285,477,adventure,adventuring/mazes-and-traps,adventure
lid,2296,230,adventure,adventuring/mazes-and-traps,adventure
lie,4034,3610,adventure,adventuring/the-lonely-grave,body/posture
lift,1000,1198,adventure,adventuring/verbs,verb/action
line,6243,6087,adventure,adventuring/mazes-and-traps,topology
location,6258,6157,adventure,adventuring/the-lonely-grave,journey
loom,4015,373,adventure,adventuring/the-lonely-grave,adventure-site/ruins
loud,5581,598,adventure,the-human-body/senses,senses-perception
loudly,2728,169,adventure,the-human-body/senses,sense-perception/noise
luck,5185,1618,adventure,hook/epic-saga,narrative/epic
lure,5845,687,adventure,adventuring/verbs,verb/quests
machination,1947,123,adventure,hook/epic-saga,narrative/epic
manacle,2294,209,adventure,adventuring/mazes-and-traps,adventure
massive,3995,1699,adventure,adventuring/the-lonely-grave,adventure-site/ruins
mast,2324,133,adventure,adventuring/transport,sailing
master,5175,7632,adventure,,narrative/epic
mausoleum,917,112,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
mechanism,2293,421,adventure,adventuring/mazes-and-traps,adventure
meet,5822,2428,adventure,action/quest-verbs,verb/quests
met,5823,940,adventure,action/quest-verbs,verb/quests
middle,6240,1983,adventure,,topology
mine,2513,1540,adventure,adventuring/the-lonely-grave,adventure-site/underground
moan,2721,145,adventure,the-human-body/senses,sense-perception/noise
monument,4018,373,adventure,adventuring/the-lonely-grave,adventure-site/ruins
motion,2291,543,adventure,the-human-body/senses,adventure
motionless,2596,115,adventure,adventuring/the-lonely-grave,disabled
mound,4004,608,adventure,adventuring/the-lonely-grave,adventure-site/ruins
mount,4115,3538,adventure,adventuring/transport,mount-steed
move,5473,21575,adventure,adventuring/verbs,gameplay/positioning/locomotion
mystery,2887,1365,adventure,hook/mystery,puzzle
navigate,3965,476,adventure,adventure/navigation,journey/navigation
navigation,3969,341,adventure,adventure/navigation,journey/navigation
near,6295,4430,adventure,adventuring/the-lonely-grave,spatial/prepositions
nearby,6296,3777,adventure,adventuring/the-lonely-grave,spatial/prepositions
necropolis,918,111,adventure,adventuring/the-lonely-grave,adventure-site/necropolis
needle,2290,420,adventure,adventuring/mazes-and-traps,adventure
nemesis,1958,142,adventure,hook/epic-saga,narrative/epic
net,2283,1028,adventure,adventuring/mazes-and-traps,adventure
neutralize,3261,180,adventure,adventure/hazard,disabled
news,2891,885,adventure,hook/mystery,puzzle
noise,5585,849,adventure,the-human-body/senses,senses-perception
notice,5583,2375,adventure,action/quest-verbs,senses-perception
oar,2323,146,adventure,adventuring/transport,sailing
obedience,1956,222,adventure,hook/virtues-and-sins,narrative/epic
off,6289,9188,adventure,adventure/navigation,spatial/prepositions
old,3982,7234,adventure,adventuring/the-lonely-grave,adventure-site/ruins
omen,5188,911,adventure,hook/epic-saga,narrative/epic
onto,6278,1320,adventure,adventure/navigation,spatial/prepositions
opening,2471,1174,adventure,adventuring/mazes-and-traps,topology/pore
opposite,6252,666,adventure,adventuring/mazes-and-traps,topology
ordeal,1951,112,adventure,hook/epic-saga,narrative/epic
out,6280,27444,adventure,adventure/navigation,spatial/prepositions
outside,6293,3496,adventure,adventure/navigation,spatial/prepositions
over,6303,13874,adventure,adventure/navigation,spatial/prepositions
partially,4010,521,adventure,adventuring/mazes-and-traps,adventure-site/ruins
pass,5802,1858,adventure,adventuring/verbs,verb/quests/search
passageway,2461,182,adventure,adventuring/mazes-and-traps,topology/pore
password,5575,143,adventure,hook/mystery,puzzle
path,6253,5180,adventure,adventure/navigation,journey
patron,5184,1833,adventure,hook/virtues-and-sins,narrative/epic
perch,4039,276,adventure,adventuring/the-lonely-grave,body/posture
perfection,1960,257,adventure,hook/epic-saga,narrative/epic
perilous,3967,426,adventure,adventure/navigation,journey/navigation
pin,1018,425,adventure,adventuring/verbs,verb/action
pitch,2710,426,adventure,the-human-body/senses,sense-perception/noise
place,6256,15915,adventure,adventuring/the-lonely-grave,journey
plunge,1020,279,adventure,adventuring/verbs,verb/downward-motion
pole,2281,489,adventure,adventuring/mazes-and-traps,adventure
port,4052,1554,adventure,adventuring/transport,vehicle
preserve,4005,867,adventure,,adventure-site/ruins
prophecy,2888,832,adventure,hook/mystery,puzzle
protect,5809,3718,adventure,,verb/quests
pull,996,2605,adventure,adventuring/verbs,verb/action
punch,1011,758,adventure,adventuring/verbs,verb/action
push,995,3219,adventure,adventuring/verbs,verb/action
put,5797,4285,adventure,adventuring/verbs,verb/quests/search
puzzle,2889,616,adventure,hook/mystery,puzzle
raft,2335,129,adventure,adventuring/transport,sailing
rail,4055,421,adventure,adventuring/transport,vehicle
ran,5824,485,adventure,adventuring/verbs,verb/quests
reap,1948,175,adventure,hook/epic-saga,narrative/epic
rebirth,1962,137,adventure,hook/epic-saga,narrative/epic
reclaim,5854,429,adventure,action/quest-verbs,verb/quests
recruit,5865,673,adventure,action/quest-verbs,verb/quests/vip
redemption,1963,185,adventure,hook/epic-saga,narrative/epic
remnant,4007,566,adventure,adventuring/the-lonely-grave,adventure-site/ruins
report,2885,1272,adventure,action/quest-verbs,puzzle
reprisal,1954,152,adventure,hook/epic-saga,narrative/epic
rescue,5871,800,adventure,action/quest-verbs,verb/quests/vip
retire,5867,478,adventure,action/quest-verbs,verb/quests/vip
retreat,5836,1091,adventure,action/quest-verbs,verb/quests
retribution,1959,248,adventure,hook/epic-saga,narrative/epic
reveal,2878,2385,adventure,,puzzle
reveals,2874,1102,adventure,,puzzle
revelation,1945,291,adventure,hook/epic-saga,narrative/epic
rich,4000,1656,adventure,hook/epic-saga,adventure-site/ruins
riddle,2890,426,adventure,hook/mystery,puzzle
ride,5847,1054,adventure,the-human-body/senses,verb/quests
rider,4118,831,adventure,adventuring/transport,mount-steed
rig,4054,508,adventure,adventuring/mazes-and-traps,vehicle
ripple,2718,187,adventure,the-human-body/senses,sense-perception/noise
road,6254,2925,adventure,adventuring/transport,journey
roar,2575,537,adventure,the-human-body/senses,sense-perception/noise/voice
romance,1969,327,adventure,hook/epic-saga,narrative/epic
rope,2280,1327,adventure,adventuring/mazes-and-traps,adventure
route,6255,1226,adventure,adventuring/transport,journey
rowboat,2332,117,adventure,adventuring/transport,sailing
ruin,4001,4481,adventure,adventuring/the-lonely-grave,adventure-site/ruins
rumble,2723,148,adventure,the-human-body/senses,sense-perception/noise
rumor,2881,1746,adventure,hook/mystery,puzzle
run,5821,9063,adventure,adventuring/verbs,verb/quests
rush,1008,855,adventure,adventuring/verbs,verb/action
sacred,3981,1374,adventure,adventuring/the-lonely-grave,adventure-site/ruins
saddle,2457,304,adventure,adventuring/transport,mount-steed
sail,4065,1047,adventure,adventuring/transport,vehicle
sarcophagus,2425,331,adventure,adventuring/mazes-and-traps,adventure-site/necropolis
scatter,4003,1084,adventure,adventure/hazard,adventure-site/ruins
scent,5580,941,adventure,the-human-body/senses,senses-perception
scream,2574,792,adventure,the-human-body/senses,sense-perception/noise/voice
screech,2725,117,adventure,the-human-body/senses,sense-perception/noise
seal,3999,1306,adventure,adventuring/mazes-and-traps,adventure-site/ruins
search,5803,2907,adventure,action/quest-verbs,verb/quests/search
secret,2879,7376,adventure,hook/mystery,puzzle
secure,5831,1276,adventure,action/quest-verbs,verb/quests
seek,5792,4914,adventure,action/quest-verbs,verb/quests/search
seize,5832,792,adventure,action/quest-verbs,verb/quests
send,5815,1802,adventure,adventuring/verbs,verb/quests
sends,5840,534,adventure,adventuring/verbs,verb/quests
sense,5634,5273,adventure,the-human-body/senses,senses-perception
sent,5839,1273,adventure,adventuring/verbs,verb/quests
settle,5808,1156,adventure,adventuring/verbs,verb/quests
shaft,2460,537,adventure,adventuring/mazes-and-traps,topology/pore
shake,999,720,adventure,adventuring/verbs,verb/action
ship,4062,4813,adventure,adventuring/transport,vehicle
shipwreck,2695,119,adventure,adventuring/the-lonely-grave,adventure-site/undersea
shout,2572,508,adventure,the-human-body/senses,sense-perception/noise/voice
shove,1017,457,adventure,adventuring/verbs,verb/action
shriek,2724,210,adventure,the-human-body/senses,sense-perception/noise
shroud,4008,547,adventure,adventuring/the-lonely-grave,adventure-site/ruins
shut,1010,594,adventure,adventuring/verbs,verb/action
shutter,2295,140,adventure,adventuring/mazes-and-traps,adventure
side,6245,7317,adventure,adventuring/mazes-and-traps,topology
sight,5636,3262,adventure,the-human-body/senses,senses-perception
sign,2882,2123,adventure,hook/mystery,puzzle
signal,2279,509,adventure,the-human-body/senses,adventure
sink,1021,372,adventure,adventuring/verbs,verb/downward-motion
sinkhole,2464,243,adventure,adventuring/mazes-and-traps,topology/pore
sit,4037,988,adventure,adventure/navigation,body/posture
site,6257,2893,adventure,adventuring/the-lonely-grave,journey
sits,4038,642,adventure,adventuring/the-lonely-grave,body/posture
slain,5834,957,adventure,action/quest-verbs,verb/quests
slam,1006,546,adventure,adventuring/verbs,verb/action
slide,1015,785,adventure,adventuring/verbs,verb/action
slip,5859,748,adventure,adventuring/verbs,verb/locomotion
smash,1016,674,adventure,adventuring/verbs,verb/action
smell,5579,1561,adventure,the-human-body/senses,senses-perception
snap,1005,562,adventure,adventuring/verbs,verb/action
snare,2286,539,adventure,adventuring/mazes-and-traps,adventure
snarl,2726,157,adventure,the-human-body/senses,sense-perception/noise
sneak,5800,1483,adventure,adventuring/verbs,verb/quests/search
soar,3496,204,adventure,the-human-body/senses,locomotion
sorcery,5187,925,adventure,hook/epic-saga,narrative/epic
sought,5826,598,adventure,action/quest-verbs,verb/quests
sound,5584,3389,adventure,the-human-body/senses,senses-perception
spin,1013,642,adventure,adventuring/verbs,verb/action
spot,5582,2772,adventure,adventure/navigation,senses-perception
sprint,3498,250,adventure,adventuring/verbs,locomotion
spur,4635,242,adventure,adventuring/verbs,mount-steed
squeeze,5860,445,adventure,adventuring/verbs,verb/locomotion
stab,1012,342,adventure,adventuring/verbs,verb/action
stand,4035,6238,adventure,adventure/navigation,body/posture
stasis,2600,175,adventure,adventure/hazard,disabled
steed,4119,447,adventure,adventuring/transport,mount-steed
straight,6249,1172,adventure,the-human-body/senses,topology
stride,5487,960,adventure,adventuring/verbs,gameplay/positioning/locomotion
stumble,5858,388,adventure,adventuring/verbs,verb/locomotion
surprise,5586,1393,adventure,chaos-and-conflict,senses-perception
survey,3968,343,adventure,adventure/navigation,journey/navigation
sweep,1009,585,adventure,adventuring/verbs,verb/action
swim,5478,2069,adventure,adventuring/verbs,gameplay/positioning/locomotion
swing,998,934,adventure,adventuring/verbs,verb/action
swirl,4009,426,adventure,the-human-body/senses,adventure-site/ruins
thrill,1966,299,adventure,hook/epic-saga,narrative/epic
through,6286,17446,adventure,adventure/navigation,spatial/prepositions
throughout,6285,2307,adventure,adventure/navigation,spatial/prepositions
thrown,992,1566,adventure,adventuring/verbs,verb/action
thrust,1004,493,adventure,adventuring/verbs,verb/action
together,6277,3805,adventure,the-human-body,spatial/prepositions
top,6246,2230,adventure,adventuring/mazes-and-traps,topology
toss,1014,392,adventure,adventuring/verbs,verb/action
toward,6299,3642,adventure,adventure/navigation,spatial/prepositions
towards,6300,664,adventure,adventure/navigation,spatial/prepositions
tragedy,1967,210,adventure,hook/epic-saga,narrative/epic
tragic,1976,142,adventure,hook/epic-saga,narrative/epic
trapdoor,2298,209,adventure,adventuring/mazes-and-traps,adventure
travel,5848,6137,adventure,adventure/navigation,verb/quests
traverse,3966,281,adventure,adventure/navigation,journey/navigation
treachery,1972,211,adventure,hook/epic-saga,narrative/epic
triumph,1968,285,adventure,hook/epic-saga,narrative/epic
true,2876,4905,adventure,hook/mystery,puzzle
truth,2883,2126,adventure,hook/mystery,puzzle
under,6297,7666,adventure,adventure/navigation,spatial/prepositions
unlocked,2277,240,adventure,adventuring/the-lonely-grave,adventure
up,6276,30550,adventure,adventure/navigation,spatial/prepositions
upon,6274,4876,adventure,adventure/navigation,spatial/prepositions
upper,6241,1275,adventure,,topology
useless,3262,447,adventure,adventure/hazard,disabled
valorous,1977,122,adventure,hook/virtues-and-sins,narrative/epic
venture,5819,800,adventure,adventuring/verbs,verb/quests
verdant,4017,220,adventure,adventuring/the-lonely-grave,adventure-site/ruins
vessel,4063,916,adventure,adventuring/transport,vehicle
victory,5179,1753,adventure,hook/epic-saga,narrative/epic
vision,5633,2932,adventure,the-human-body/senses,senses-perception
visit,5805,1933,adventure,action/quest-verbs,verb/quests/search
visual,5639,649,adventure,the-human-body/senses,senses-perception
wagon,4060,1005,adventure,adventuring/transport,vehicle
wail,2720,171,adventure,the-human-body/senses,sense-perception/noise
walk,5846,3208,adventure,adventuring/verbs,verb/quests
wander,5818,1143,adventure,adventuring/verbs,verb/quests
warn,5590,1196,adventure,the-human-body/senses,senses-perception
warship,2325,142,adventure,adventuring/transport,sailing
web,2287,1341,adventure,adventuring/mazes-and-traps,adventure
whistle,2713,195,adventure,the-human-body/senses,sense-perception/noise
winch,2336,121,adventure,adventuring/mazes-and-traps,sailing
window,2470,1303,adventure,adventuring/mazes-and-traps,topology/pore
wipe,5852,411,adventure,adventuring/verbs,verb/quests
wire,2284,488,adventure,adventuring/mazes-and-traps,adventure
woodland,4016,292,adventure,adventuring/the-lonely-grave,adventure-site/ruins
yell,2729,131,adventure,the-human-body/senses,sense-perception/noise
accessory,225,187,artifice,artifice,tinkering
alloy,3525,107,artifice,artifice,metallurgy
alteration,238,310,artifice,artifice,tinkering
anvil,3522,166,artifice,artifice,metallurgy
artifice,3523,107,artifice,artifice,metallurgy
artificer,5286,491,artifice,artifice,tinkering
augmentation,271,240,artifice,artifice,tinkering
craft,6091,4582,artifice,artifice,tinkering
engineering,203,379,artifice,artifice,tinkering
mechanical,207,1023,artifice,artifice,tinkering
mend,5285,429,artifice,artifice,tinkering
prototype,276,142,artifice,artifice,tinkering
tech,6094,1744,artifice,artifice,tinkering
technology,6096,1763,artifice,artifice,tinkering
tinker,5284,326,artifice,artifice,tinkering
tool,6093,4772,artifice,artifice,tinkering
abbey,1508,194,built-environment,built-environment,establishment/religion
alcove,2497,366,built-environment,built-environment,architecture
alley,2684,839,built-environment,built-environment,cityscape
altar,2705,616,built-environment,built-environment,building/monument
apartment,3112,250,built-environment,built-environment,building/domicile
arch,2489,625,built-environment,built-environment,architecture
archway,2482,206,built-environment,built-environment,architecture
arena,1454,349,built-environment,built-environment,establishment/leisure
attic,2418,119,built-environment,safe-harbor,construction
